type,seq,mac,rssi,rate,noise_floor,fft_gain,agc_gain,channel,local_timestamp,sig_len,rx_state,real_time_set,real_timestamp,len,first_word,data
CSI_DATA,28437,1a:00:00:00:00:00,-91,11,-98,248,79,11,140450117,47,0,0,140.391,128,0,"[0,0,0,0,0,0,0,0,-16,14,-14,17,-12,21,-10,22,-10,23,-7,26,-8,27,-7,25,-9,24,-7,26,-7,26,-7,26,-6,25,-3,27,-3,25,-1,27,0,29,1,30,1,27,2,24,3,22,3,24,5,21,7,20,9,16,10,13,13,10,16,10,0,0,8,21,8,20,10,20,11,20,10,18,13,17,13,15,13,14,12,14,13,14,15,12,15,12,15,13,14,11,14,11,15,13,15,12,13,12,15,10,13,12,10,12,8,11,11,11,8,10,6,7,5,6,5,3,3,2,0,0,0,0,0,0]"
CSI_DATA,28438,1a:00:00:00:00:00,-91,11,-98,254,79,11,140467117,47,0,0,140.408,128,0,"[0,0,0,0,0,0,0,0,23,-3,22,-7,23,-8,24,-8,24,-11,23,-12,23,-14,22,-14,22,-15,21,-16,19,-16,15,-19,13,-22,12,-24,9,-26,6,-23,4,-24,2,-24,0,-23,-3,-22,-4,-20,-6,-18,-9,-14,-12,-10,-15,-8,-18,-3,-22,0,-24,4,0,0,-35,-11,-32,-11,-29,-11,-27,-11,-25,-8,-22,-8,-25,-8,-22,-4,-20,-3,-18,-3,-19,1,-22,3,-22,5,-23,4,-26,5,-25,7,-27,9,-25,10,-26,13,-24,12,-25,14,-25,13,-24,12,-20,14,-20,15,-16,14,-15,14,-14,14,0,0,0,0,0,0]"
CSI_DATA,28439,1a:00:00:00:00:00,-92,11,-98,252,79,11,140484117,47,0,0,140.425,128,0,"[0,0,0,0,0,0,0,0,18,-3,20,-4,22,-5,25,-6,27,-8,26,-10,25,-10,25,-12,23,-16,22,-16,19,-16,18,-17,17,-15,15,-16,14,-17,12,-19,9,-17,7,-20,6,-20,4,-21,0,-21,-6,-26,-8,-26,-7,-22,-5,-18,-4,-15,-2,-11,-1,-7,0,0,-12,-6,-12,-8,-12,-11,-12,-12,-12,-13,-13,-16,-12,-12,-13,-12,-13,-12,-12,-10,-12,-8,-11,-7,-14,-4,-14,-4,-15,-3,-15,-6,-13,-3,-14,-4,-15,-2,-17,-2,-20,-1,-19,-2,-19,-2,-21,1,-23,2,-26,4,-26,6,-29,6,0,0,0,0,0,0]"
CSI_DATA,28440,1a:00:00:00:00:00,-90,11,-98,247,79,11,140511463,47,0,0,140.452,128,0,"[0,0,0,0,0,0,0,0,24,-17,25,-15,26,-14,28,-12,28,-11,29,-9,28,-5,29,-3,28,-2,28,-1,27,0,27,4,24,3,25,5,22,6,21,5,18,5,17,7,14,7,13,7,9,6,9,8,5,9,4,11,2,14,2,15,0,17,-1,20,0,0,7,13,5,13,4,14,1,13,-3,13,-5,13,-6,12,-9,10,-9,12,-10,13,-12,10,-14,9,-12,11,-12,11,-13,12,-11,9,-13,11,-12,8,-15,6,-14,7,-15,4,-17,3,-16,1,-14,-3,-15,-2,-14,-5,-13,-6,-11,-6,0,0,0,0,0,0]"
CSI_DATA,28441,1a:00:00:00:00:00,-91,11,-98,252,79,11,140518117,47,0,0,140.459,128,0,"[0,0,0,0,0,0,0,0,-11,-27,-8,-26,-6,-25,-2,-24,1,-23,3,-21,2,-22,3,-21,4,-19,5,-20,4,-21,4,-20,3,-23,1,-22,3,-22,4,-20,4,-22,2,-21,0,-19,3,-17,2,-19,7,-16,8,-14,11,-12,15,-11,21,-8,26,-7,32,-7,0,0,15,-8,11,-11,11,-13,13,-16,14,-16,13,-18,16,-16,18,-13,16,-10,15,-11,17,-10,17,-10,17,-10,18,-10,19,-9,19,-8,20,-6,22,-4,22,0,25,-1,25,4,25,5,24,6,22,8,20,11,18,11,14,13,11,14,0,0,0,0,0,0]"
CSI_DATA,28442,1a:00:00:00:00:00,-90,11,-98,244,79,11,140535117,47,0,0,140.476,128,0,"[0,0,0,0,0,0,0,0,-25,-12,-25,-10,-24,-10,-23,-10,-23,-10,-22,-11,-22,-12,-21,-16,-21,-16,-20,-17,-18,-19,-19,-17,-19,-16,-17,-18,-16,-17,-16,-17,-15,-16,-15,-15,-15,-14,-14,-16,-12,-18,-11,-17,-9,-16,-9,-17,-8,-17,-9,-17,-8,-18,-8,-20,0,0,-7,-18,-6,-18,-5,-18,-5,-16,-4,-17,-2,-14,2,-12,4,-12,7,-12,8,-11,9,-9,9,-8,11,-12,13,-10,11,-12,9,-12,9,-11,8,-11,8,-9,9,-11,12,-12,12,-9,12,-7,13,-6,14,-4,15,-4,15,-2,15,-2,0,0,0,0,0,0]"
CSI_DATA,28443,1a:00:00:00:00:00,-93,11,-98,247,79,11,140552117,47,0,0,140.493,128,0,"[0,0,0,0,0,0,0,0,12,23,10,24,9,22,7,21,6,22,6,20,5,21,4,22,5,20,5,20,3,19,3,21,5,20,4,20,3,22,5,20,6,20,5,23,6,21,8,20,8,17,7,17,9,15,11,11,12,8,13,4,15,-1,17,-4,0,0,11,35,10,31,8,26,7,20,5,16,5,11,5,10,7,9,7,9,7,10,7,10,7,10,7,12,7,12,6,12,6,15,8,16,8,17,9,18,10,19,11,20,10,19,8,20,7,21,3,19,1,20,-2,20,-4,19,0,0,0,0,0,0]"
CSI_DATA,28445,1a:00:00:00:00:00,-90,11,-98,254,79,11,140586118,47,0,0,140.527,128,0,"[0,0,0,0,0,0,0,0,12,-37,12,-33,14,-32,14,-29,16,-24,16,-21,16,-19,17,-19,18,-18,18,-18,18,-15,16,-13,19,-10,18,-13,19,-13,19,-12,18,-10,16,-9,17,-6,19,-8,18,-8,17,-6,21,-6,21,-5,19,-5,21,-3,21,-4,20,-4,0,0,30,18,29,17,29,14,27,11,26,8,26,7,22,5,17,3,17,4,14,5,13,4,11,6,12,7,11,11,9,11,10,14,11,17,8,21,6,21,7,23,3,24,2,25,-1,25,-3,26,-6,26,-7,26,-8,25,-8,27,0,0,0,0,0,0]"
CSI_DATA,28446,1a:00:00:00:00:00,-89,11,-98,245,79,11,140615714,47,0,0,140.556,128,0,"[0,0,0,0,0,0,0,0,14,20,13,21,13,20,12,20,12,20,11,20,12,21,11,22,9,23,8,22,8,20,8,22,8,21,8,19,7,18,4,18,5,17,4,15,3,16,1,14,2,13,1,12,0,12,-1,9,-1,8,-3,6,-4,3,-4,0,0,0,2,32,0,28,-2,24,-5,21,-6,19,-8,15,-9,13,-9,9,-8,12,-8,12,-7,11,-8,12,-7,12,-9,10,-11,9,-11,9,-13,8,-14,6,-14,5,-16,4,-18,4,-20,4,-19,4,-16,2,-16,1,-14,0,-12,-2,-11,-4,0,0,0,0,0,0]"
CSI_DATA,28447,1a:00:00:00:00:00,-92,11,-98,254,79,11,140620118,47,0,0,140.561,128,0,"[0,0,0,0,0,0,0,0,-22,8,-23,9,-21,10,-20,12,-19,14,-20,15,-19,16,-20,14,-18,11,-19,9,-19,10,-21,11,-23,8,-26,6,-25,8,-26,9,-24,10,-23,12,-21,13,-18,14,-12,16,-6,20,-3,20,0,22,5,24,7,26,9,28,11,32,0,0,3,21,2,23,-3,22,-3,22,-2,21,-3,19,0,19,1,21,1,21,1,19,3,16,7,16,7,17,7,17,7,17,7,18,6,17,6,18,6,17,4,18,4,20,3,20,0,22,1,25,1,26,2,28,2,28,3,30,0,0,0,0,0,0]"
